metros,valor
54,22
66,331
58,215
103,599
62,27
53,25
107,65
107,555
65,317
52,195
100,422
70,33
71,304
106,45
80,362
107,56
104,445
96,48
104,515
100,495
53,26
104,54
64,34
53,205
100,605
93,465
56,249
123,73
104,43
51,249
92,56
61,265
87,44
55,275
107,425
90,49
150,825
101,535
55,32
65,361
106,71
93,477
71,41
56,24
140,6
60,24
58,23
53,26
123,749
52,272
59,289
65,35
135,62
67,395
62,225
56,23
71,31
107,6
106,636
148,55
65,33
74,259
127,78
62,325
51,249
70,31
84,509
77,39
118,556
74,35
82,495
116,558
55,21
59,285
108,629
84,52
56,21
70,45
54,24
45,227
51,195
91,57
100,703
74,45
65,27
64,314
69,337
60,3
50,239
50,27
54,245
70,325
50,18
75,397
82,495
70,319
106,636
107,56
70,355
53,305
